epoch,mean_reward,avg_wait,r_morning,r_off,r_evening,pg_loss,v_loss,ood_size
0,-2.991666555404663,5.987615740740741,-2.5170340681362724,-2.35,-5.108597285067873,-8.661005973815918,5111.1435546875,0
1,-2.985185146331787,4.666550925925926,-2.6018957345971563,-3.305555555555556,-4.448275862068965,14.888747215270996,6422.55712890625,1080
2,-2.894444465637207,4.304166666666666,-2.3666666666666667,-3.95,0.0,14.678521156311035,6464.748046875,1080
3,-2.7166666984558105,4.045717592592593,-2.7583333333333333,-2.6333333333333333,0.0,-10.014537811279297,6242.4248046875,0
4,-2.7574074268341064,4.177777777777778,-2.9277777777777776,-2.4166666666666665,0.0,15.441548347473145,6590.72998046875,1080
5,-2.8138887882232666,4.534143518518518,-2.9899159663865547,-2.422222222222222,-3.104,16.227760314941406,7074.466796875,1080
6,-2.549999952316284,3.2353009259259258,-2.395303326810176,-2.283333333333333,-3.38755980861244,-9.804722785949709,6469.017578125,0
7,-2.498148202896118,3.1378472222222222,-2.4326241134751774,-2.35,-3.076923076923077,15.294577598571776,6592.7841796875,1080
8,-2.3981480598449707,3.370486111111111,-2.143262411347518,-2.8777777777777778,-2.8666666666666667,15.107552528381348,6502.12890625,1080
9,-2.308333396911621,2.662847222222222,-2.1486111111111112,-2.6277777777777778,0.0,14.920973777770996,6506.6435546875,1080
10,-2.674074172973633,4.495949074074074,-2.751388888888889,-2.5194444444444444,0.0,17.523221969604492,8787.0966796875,1080
11,-2.6083333492279053,3.489236111111111,-2.8400597907324365,-2.083333333333333,-3.2745098039215685,17.130979537963867,7781.7138671875,1080
12,-2.448148250579834,3.167476851851852,-2.4536679536679538,-2.1166666666666667,-3.0247524752475248,16.325807571411133,7391.34375,1080
13,-2.4370369911193848,3.0266203703703702,-2.322265625,-2.3,-2.956730769230769,16.556175231933594,7926.33447265625,1080
14,-2.3907406330108643,2.6708333333333334,-2.088145896656535,-2.75,-3.5161290322580645,16.442523956298828,7943.20849609375,1080
15,-2.430555582046509,3.294675925925926,-2.216666666666667,-2.8583333333333334,0.0,16.809505462646484,8351.568359375,1080
16,-2.1907408237457275,2.364236111111111,-2.219444444444445,-2.1333333333333333,0.0,-9.277989387512209,6802.80224609375,0
17,-2.290740728378296,2.358217592592593,-2.3627019089574155,-2.105555555555556,-2.743589743589744,16.14412498474121,6984.82763671875,1080
18,-2.323148250579834,2.534375,-2.3416030534351147,-2.061111111111111,-2.7551020408163267,16.472637176513672,7499.36669921875,1080
19,-2.2657406330108643,2.447453703703704,-2.117760617760618,-2.172222222222222,-2.811881188118812,16.248703002929688,7693.88134765625,1080
20,-2.2018518447875977,2.4761574074074075,-2.0421686746987957,-2.4,-2.821428571428572,15.93434715270996,7117.22607421875,1080
21,-2.2962963581085205,3.138541666666667,-2.063888888888889,-2.761111111111111,0.0,16.7043514251709,8361.8251953125,1080
22,-2.174999952316284,2.285648148148148,-2.248611111111111,-2.0277777777777777,0.0,15.937559127807615,7194.22802734375,1080
23,-2.3629629611968994,2.727430555555556,-2.4654654654654653,-2.1194444444444445,-2.7222222222222223,17.358291625976562,7993.6572265625,1080
24,-2.2296295166015625,2.2729166666666667,-2.165714285714286,-2.033333333333333,-2.764102564102564,16.346179962158203,7492.611328125,1080
25,-2.189814805984497,2.257060185185185,-2.1079545454545454,-2.0,-2.770833333333333,16.359434127807617,7761.43505859375,1080
26,-2.162037134170532,2.2159722222222222,-2.004360465116279,-2.463888888888889,-2.15625,16.164993286132812,7352.935546875,1080
27,-2.150925874710083,2.5859953703703704,-2.0277777777777777,-2.397222222222222,0.0,16.197385787963867,7672.31494140625,1080
28,-2.506481409072876,4.634027777777778,-2.626388888888889,-2.2666666666666666,0.0,18.942344665527344,10352.2060546875,1080
29,-2.4342591762542725,3.3253472222222222,-2.550660792951542,-2.080555555555556,-3.6666666666666665,18.359699249267575,8951.63671875,1080
30,-2.408333301544189,3.1731481481481483,-2.3977695167286246,-2.1416666666666666,-2.967032967032967,18.21367454528809,9117.0986328125,1080
31,-2.3027777671813965,2.7888888888888888,-2.127906976744186,-2.138888888888889,-3.034313725490196,17.177791595458984,8706.5595703125,1080
32,-2.122222185134888,2.134837962962963,-1.9770290964777948,-2.286111111111111,-2.656716417910448,15.921634674072266,7047.87841796875,1080
33,-2.1046295166015625,2.171990740740741,-1.9472222222222224,-2.4194444444444443,0.0,15.91011905670166,7312.06494140625,1080
34,-2.164814710617065,2.1280092592592594,-2.223611111111111,-2.047222222222222,0.0,16.388355255126953,7564.87646484375,1080
35,-2.206481456756592,2.010763888888889,-2.291793313069909,-1.9916666666666667,-2.548387096774193,16.68331527709961,7448.646484375,1080
36,-2.2268519401550293,2.191898148148148,-2.217557251908397,-2.0194444444444444,-2.63265306122449,-9.159919738769531,7864.0537109375,0
37,-2.1111111640930176,2.089236111111111,-1.944642857142857,-2.113888888888889,-2.6875,16.128761291503906,7586.60888671875,1080
38,-2.0546295642852783,1.9998842592592592,-1.855354659248957,-2.458333333333333,0.0,15.681102752685549,7043.76708984375,1080
39,-2.0462963581085205,1.8311342592592592,-1.9847222222222225,-2.1694444444444443,0.0,15.616920471191406,6968.55615234375,1080
40,-2.099074125289917,2.2729166666666667,-2.1902777777777778,-1.9166666666666667,0.0,16.120582580566406,7203.748046875,1080
41,-2.1601850986480717,2.116203703703704,-2.264755480607082,-1.8805555555555555,-2.4645669291338583,16.472286224365234,7290.173828125,1080
42,-2.099074125289917,2.0012731481481483,-2.0793950850661624,-1.8888888888888888,-2.549738219895288,15.690711975097656,7039.0703125,1080
43,-2.0638887882232666,2.0616898148148146,-1.9264705882352944,-2.180555555555556,-2.453703703703704,15.77300262451172,7104.4990234375,1080
44,-1.893518567085266,1.6140046296296295,-1.7208333333333334,-2.238888888888889,0.0,14.340067863464355,5946.5166015625,1080
45,-1.9935184717178345,1.8641203703703704,-2.029166666666667,-1.9222222222222225,0.0,15.17473316192627,6654.96240234375,1080
46,-2.144444465637207,1.9326388888888888,-2.213973799126637,-1.988888888888889,-2.393939393939394,16.45462417602539,7353.9091796875,1080
47,-2.2361111640930176,2.2621527777777777,-2.163147792706334,-2.105555555555556,-2.663316582914573,17.15070343017578,8440.3203125,1080
48,-2.069444417953491,1.95,-1.9448669201520912,-1.9527777777777775,-2.6237113402061856,15.714642524719238,7254.77783203125,1080
49,-2.064814805984497,1.8488425925925929,-1.865021770682148,-2.4444444444444446,-2.096774193548387,15.65009593963623,7055.859375,1080
50,-2.0101852416992188,2.0034722222222223,-1.8930555555555555,-2.2444444444444445,0.0,15.212305068969728,6732.4052734375,1080
51,-2.099074125289917,2.296875,-2.191666666666667,-1.913888888888889,0.0,15.940451622009276,7292.24169921875,1080
52,-2.300925970077514,2.799421296296296,-2.4439324116743477,-2.0055555555555555,-2.4927536231884058,17.51158332824707,8179.322265625,1080
53,-2.2333333492279053,2.4765046296296296,-2.185404339250493,-2.036111111111111,-2.68075117370892,16.71074676513672,8024.3037109375,1080
54,-2.0675926208496094,2.0158564814814817,-1.936538461538461,-1.9527777777777775,-2.615,15.470175743103027,7077.6513671875,1080
55,-2.155555486679077,2.208912037037037,-1.945185185185185,-2.5027777777777778,-2.533333333333333,16.222990036010742,7686.96875,1080
56,-2.0805554389953613,2.1556712962962963,-1.9680555555555557,-2.305555555555556,0.0,15.52369499206543,7063.529296875,1080
57,-2.050925970077514,1.8440972222222225,-2.0652777777777778,-2.022222222222222,0.0,15.190595626831056,6541.3544921875,1080
58,-2.0999999046325684,1.9722222222222223,-2.1867088607594938,-1.9,-2.2954545454545454,15.42396068572998,6403.154296875,1080
59,-2.176851749420166,2.1163194444444446,-2.194605009633912,-1.9194444444444445,-2.5920398009950247,-7.877083301544189,6906.74267578125,0
60,-2.139814853668213,2.2530092592592594,-1.984126984126984,-2.180555555555556,-2.6209150326797386,-7.382311820983887,7077.5146484375,0
61,-2.0675926208496094,2.182407407407408,-1.8875,-2.4277777777777776,0.0,14.998641967773438,6568.62158203125,1080
62,-2.125,2.4391203703703703,-2.0541666666666667,-2.2666666666666666,0.0,15.403401374816896,6990.390625,1080
63,-2.249073982238769,2.7715277777777776,-2.3541666666666665,-2.0388888888888888,0.0,16.414125442504883,7568.17236328125,1080
64,-2.3712964057922363,3.0939814814814817,-2.4708661417322832,-2.0694444444444446,-2.9058823529411764,17.3531551361084,8100.716796875,1080
65,-2.293518543243408,2.750347222222222,-2.3001988071570576,-1.9472222222222224,-2.8525345622119818,16.518848419189453,7789.41748046875,1080
66,-2.176851749420166,2.485069444444445,-2.1205533596837944,-1.9777777777777776,-2.6448598130841123,15.461350440979004,7072.0400390625,1080
67,-2.150925874710083,2.153240740740741,-2.0303030303030303,-2.355555555555556,-2.25,15.182117462158203,6667.08251953125,1080
68,-1.953703761100769,1.8859953703703705,-1.7694444444444444,-2.3222222222222224,0.0,13.315617561340332,5400.50732421875,1080
69,-1.9888888597488403,1.7673611111111112,-2.0,-1.9666666666666663,0.0,13.530261039733888,5263.091796875,1080
70,-2.003703594207764,1.634375,-2.0263975155279503,-1.85,-2.539473684210526,13.420042991638184,4915.96337890625,1080
71,-2.0157406330108643,1.7425925925925927,-1.9642184557438795,-1.8277777777777775,-2.5185185185185186,-4.854494571685791,4856.86083984375,0
72,-1.975000023841858,1.7280092592592593,-1.8319185059422751,-2.0527777777777776,-2.404580152671756,12.974616050720217,4913.21923828125,1080
73,-1.8685184717178345,1.5628472222222225,-1.6444444444444444,-2.316666666666667,0.0,11.883163452148438,4280.02587890625,1080
74,-1.8472222089767456,1.4726851851851852,-1.8277777777777775,-1.886111111111111,0.0,11.6201171875,4134.048828125,1080
75,-1.9648147821426392,1.4306712962962962,-2.063328424153166,-1.7416666666666667,-2.292682926829268,12.55057144165039,4291.2333984375,1080
76,-1.997222185134888,1.5013888888888889,-1.937269372693727,-1.9222222222222225,-2.331460674157303,-4.566622257232666,4452.765625,0
77,-1.8972222805023196,1.475347222222222,-1.784013605442177,-1.9055555555555557,-2.378787878787879,11.606962203979492,3989.933349609375,1080
78,-1.8879629373550413,1.3530092592592593,-1.7055555555555555,-2.2527777777777778,0.0,11.377784729003906,3940.51904296875,1080
79,-1.7824074029922483,1.2179398148148148,-1.8083333333333331,-1.7305555555555556,0.0,10.223736763000488,3183.94091796875,1080
80,-1.9879629611968996,1.4596064814814815,-2.061633281972265,-1.772222222222222,-2.408450704225352,11.961920738220217,3902.638916015625,1080
81,-1.9518518447875977,1.4100694444444444,-1.8816029143898,-1.8472222222222223,-2.3976608187134505,-3.827184200286865,3653.66015625,0
82,-1.8990740776062007,1.3657407407407407,-1.75195007800312,-2.0694444444444446,-2.316455696202532,10.856414794921877,3523.929443359375,1080
83,-1.8083332777023315,1.2383101851851852,-1.6833333333333331,-2.058333333333333,0.0,9.85558795928955,3026.81689453125,1080
84,-1.8981481790542605,1.272337962962963,-1.9541666666666664,-1.7861111111111112,0.0,10.575935363769531,3238.961181640625,1080
85,-1.95462965965271,1.2652777777777775,-1.9496527777777777,-1.805555555555556,-2.3472222222222223,10.821714401245115,3372.830078125,1080
86,-1.9101852178573608,1.2864583333333333,-1.7697841726618706,-1.9083333333333332,-2.3902439024390243,9.769448280334473,3323.08251953125,1080
87,-1.7657407522201538,1.1020833333333333,-1.5916666666666666,-2.113888888888889,0.0,8.68764591217041,2403.686767578125,1080
88,-1.7675925493240356,1.1710648148148148,-1.790277777777778,-1.7222222222222223,0.0,8.50709056854248,2519.580078125,1080
89,-1.9675925970077517,1.2800925925925926,-2.007530120481928,-1.8583333333333332,-2.196428571428572,10.23680591583252,2968.23876953125,1080
90,-1.8537037372589111,1.1625,-1.8074204946996464,-1.738888888888889,-2.292207792207792,8.019469261169434,2160.168212890625,1080
91,-1.836111068725586,1.148148148148148,-1.724812030075188,-1.980555555555556,-2.2363636363636363,8.563129425048828,2226.20751953125,1080
92,-1.7796295881271362,1.2350694444444446,-1.7416666666666667,-1.855555555555556,0.0,7.797549247741699,2061.789794921875,1080
93,-1.8731482028961184,1.178472222222222,-1.9333333333333331,-1.7527777777777778,0.0,8.493474006652832,2234.703369140625,1080
94,-1.9370369911193848,1.2050925925925926,-1.9327433628318584,-1.8138888888888889,-2.238709677419355,-1.8608454465866089,2151.200927734375,0
95,-1.837962985038757,1.06875,-1.7529215358931554,-1.8722222222222225,-2.15702479338843,7.624777793884277,1863.5247802734373,1080
96,-1.770370364189148,1.09375,-1.6194444444444445,-2.0722222222222224,0.0,6.706562042236328,1611.00244140625,1080
97,-1.811111092567444,1.1188657407407407,-1.8916666666666664,-1.65,0.0,-1.7873610258102417,1634.323974609375,0
98,-1.9222222566604612,1.1314814814814815,-1.9667832167832169,-1.7,-2.2905405405405403,7.829139709472656,2013.6826171875,1080
99,-1.8990740776062007,1.1869212962962965,-1.8045375218150088,-1.8083333333333331,-2.489795918367347,7.244019508361816,1752.0362548828125,1080
100,-1.7814815044403076,1.0795138888888889,-1.6069444444444445,-2.1305555555555555,0.0,5.861250400543213,1301.7772216796875,1080
101,-1.744444489479065,1.0115740740740742,-1.7805555555555554,-1.6722222222222225,0.0,-0.6423468589782715,1063.029052734375,0
102,-1.8916666507720947,1.098263888888889,-1.894557823129252,-1.761111111111111,-2.234848484848485,6.412315368652344,1513.01220703125,1080
103,-1.7851852178573608,1.016898148148148,-1.686411149825784,-1.7416666666666667,-2.280821917808219,4.527132987976074,1071.6102294921875,1080
104,-1.7370370626449585,0.9934027777777776,-1.5708333333333333,-2.0694444444444446,0.0,4.382547378540039,894.91259765625,1080
105,-1.7148147821426392,1.0049768518518518,-1.7486111111111111,-1.647222222222222,0.0,3.83869194984436,755.6136474609375,1080
106,-1.919444441795349,1.1424768518518518,-1.9768595041322317,-1.761111111111111,-2.1130434782608694,5.444388389587402,1150.40087890625,1080
107,-1.8120369911193848,1.0806712962962963,-1.7940140845070425,-1.663888888888889,-2.2302631578947367,2.986536741256714,804.7672119140625,1080
108,-1.735185146331787,1.0315972222222225,-1.5652777777777778,-2.075,0.0,3.1843714714050293,620.0814208984375,1080
109,-1.7120370864868164,0.9940972222222222,-1.7222222222222223,-1.6916666666666669,0.0,2.651775598526001,550.4302978515625,1080
110,-1.8990740776062007,1.1266203703703703,-1.9477726574500769,-1.7416666666666667,-2.260869565217391,4.185323715209961,812.7850952148438,1080
111,-1.7972222566604614,1.0447916666666666,-1.7657342657342658,-1.738888888888889,-2.060810810810811,1.49700665473938,667.3342895507812,1080
112,-1.796296238899231,1.1042824074074074,-1.675792507204611,-2.0305555555555554,-1.7692307692307692,2.3793187141418457,540.222900390625,1080
113,-1.730555534362793,0.9917824074074074,-1.7013888888888888,-1.788888888888889,0.0,1.4673248529434204,465.7109069824219,1080
114,-1.8564814329147337,1.043287037037037,-1.920174165457184,-1.6972222222222222,-2.290322580645161,2.434278726577759,543.4154663085938,1080
115,-1.8277777433395384,1.0753472222222222,-1.800705467372134,-1.7138888888888888,-2.196078431372549,-0.0815798193216323,550.3169555664062,0
