epoch,mean_reward,avg_wait,r_morning,r_off,r_evening,pg_loss,v_loss
59,-2.370370388031006,0.0,-2.4285714285714284,-2.0944444444444446,-3.020618556701031,-0.8937292695045471,685.0531005859375
60,-2.3481481075286865,0.0,-2.3620689655172415,-2.113888888888889,-2.7373737373737375,-0.01589524745941162,838.9949340820312
61,-2.2120370864868164,0.0,-2.0963855421686746,-2.1666666666666665,-2.8129496402877696,-0.0046456847339868546,435.0975036621094
62,-2.275925874710083,0.0,-2.0625,-2.702777777777778,0,-0.4759540557861328,559.9218139648438
63,-2.230555534362793,0.0,-2.191666666666667,-2.308333333333333,0,-0.3730219304561615,473.5705261230469
64,-2.2666666507720947,0.0,-2.390277777777778,-2.0194444444444444,0,-0.5246235728263855,727.215576171875
65,-2.3027777671813965,0.0,-2.3292035398230087,-2.0083333333333333,-2.890322580645161,-0.7796177268028259,665.1525268554688
66,-2.3111112117767334,0.0,-2.201904761904762,-2.1305555555555555,-2.9384615384615387,0.2384955734014511,849.8314208984375
67,-2.194444417953491,0.0,-2.012251148545176,-2.4,-2.8656716417910446,-0.22984294593334198,487.1614685058594
68,-2.1861112117767334,0.0,-1.975,-2.6083333333333334,0,-0.18297548592090607,656.910888671875
69,-2.15925931930542,0.0,-2.154166666666667,-2.1694444444444443,0,0.010292639955878258,480.615966796875
70,-2.336111068725586,0.0,-2.3963414634146343,-2.088888888888889,-3.109375,-0.7437360882759094,721.6425170898438
71,-2.1842591762542725,0.0,-2.0707456978967493,-2.0555555555555554,-2.720812182741117,0.6714861392974854,979.4479370117188
72,-2.180555582046509,0.0,-2.017605633802817,-2.2222222222222223,-2.6907894736842106,-0.05603156238794327,503.2709045410156
73,-2.2462964057922363,0.0,-2.0083333333333333,-2.7222222222222223,0,-0.4729308485984802,503.11505126953125
74,-2.176851749420166,0.0,-2.161111111111111,-2.2083333333333335,0,-0.2727852761745453,532.7730712890625
75,-2.172222137451172,0.0,-2.286111111111111,-1.9444444444444444,0,-0.16317038238048553,523.5792846679688
76,-2.2185184955596924,0.0,-2.218803418803419,-2.0027777777777778,-2.7925925925925927,-0.26177719235420227,616.3621826171875
77,-2.2231481075286865,0.0,-2.1051625239005736,-2.0694444444444446,-2.817258883248731,0.6162336468696594,871.9635620117188
78,-2.1666667461395264,0.0,-1.9246794871794872,-2.4166666666666665,-2.8020833333333335,-0.23629356920719147,540.762451171875
79,-2.029629707336426,0.0,-1.8347222222222221,-2.4194444444444443,0,0.7164850831031799,485.794921875
80,-2.1324074268341064,0.0,-2.172222222222222,-2.0527777777777776,0,-0.09466532617807388,560.570068359375
81,-2.258333444595337,0.0,-2.378654970760234,-2.0277777777777777,-2.2777777777777777,-0.6601876020431519,599.454833984375
82,-2.3185184001922607,0.0,-2.2480916030534353,-2.036111111111111,-3.0255102040816326,-0.9249975085258484,929.7802734375
83,-2.2620370388031006,0.0,-2.15,-2.0694444444444446,-2.9,-0.40911605954170227,640.7745971679688
84,-2.1814815998077393,0.0,-1.9897058823529412,-2.5027777777777778,-2.55,-0.3671777844429016,509.21868896484375
85,-2.120370388031006,0.0,-2.011111111111111,-2.338888888888889,0,-0.16554220020771027,538.4906005859375
86,-2.1148147583007812,0.0,-2.198611111111111,-1.9472222222222222,0,-0.09088369458913803,480.7364501953125
87,-2.2814815044403076,0.0,-2.3724247226624406,-2.0305555555555554,-2.651685393258427,-0.8047771453857422,594.687744140625
88,-2.2685184478759766,0.0,-2.213610586011342,-2.0722222222222224,-2.7905759162303663,0.3471453785896301,777.3851928710938
89,-2.1351852416992188,0.0,-1.9176672384219553,-2.1694444444444443,-2.9708029197080292,0.205816850066185,504.3132629394531
90,-2.1731481552124023,0.0,-1.9861111111111112,-2.547222222222222,0,-0.4672841429710388,614.0262451171875
91,-2.1453704833984375,0.0,-2.1347222222222224,-2.1666666666666665,0,-0.22196611762046814,612.1685180664062
92,-2.21574068069458,0.0,-2.308333333333333,-2.0305555555555554,0,-0.4414060711860657,605.8615112304688
93,-2.3722221851348877,0.0,-2.421232876712329,-2.066666666666667,-2.9705882352941178,-1.134782075881958,766.8099975585938
94,-2.3064815998077393,0.0,-2.291746641074856,-2.0027777777777778,-2.8944723618090453,-0.07609722763299942,905.7409057617188
95,-2.1351852416992188,0.0,-1.985342019543974,-2.261111111111111,-2.5754716981132075,-0.05419807881116867,485.0552062988281
96,-2.154629707336426,0.0,-1.9236111111111112,-2.6166666666666667,0,-0.2519746422767639,458.1749572753906
97,-2.0962963104248047,0.0,-2.111111111111111,-2.066666666666667,0,0.0769542008638382,513.4624633789062
98,-2.2509260177612305,0.0,-2.3543758967001436,-2.0,-3.0434782608695654,-0.6375687122344971,538.8897094726562
99,-2.2398147583007812,0.0,-2.0921052631578947,-2.113888888888889,-2.898936170212766,-0.645487904548645,825.2686767578125
100,-2.1324074268341064,0.0,-2.07088122605364,-1.9222222222222223,-2.676767676767677,0.14885489642620087,624.3268432617188
101,-2.0768518447875977,0.0,-1.9452662721893492,-2.286111111111111,-2.3863636363636362,0.31829842925071716,487.1456604003906
102,-2.075925827026367,0.0,-1.948611111111111,-2.3305555555555557,0,0.2463669329881668,513.4081420898438
103,-2.168518543243408,0.0,-2.1791666666666667,-2.147222222222222,0,-0.14545002579689026,556.52734375
104,-2.2138888835906982,0.0,-2.2665639445300463,-1.988888888888889,-2.8732394366197185,-0.11394339799880981,593.5071411132812
105,-2.1953704357147217,0.0,-2.1173076923076923,-2.0055555555555555,-2.74,0.7632462978363037,883.7951049804688
106,-2.0657408237457275,0.0,-1.9333333333333333,-2.0527777777777776,-2.5393939393939395,0.25149884819984436,560.696044921875
107,-2.149074077606201,0.0,-1.9499304589707929,-2.5527777777777776,0.0,-0.41785624623298645,566.2821044921875
108,-2.126851797103882,0.0,-2.076388888888889,-2.227777777777778,0,0.12069535255432129,601.9647216796875
109,-2.174074172973633,0.0,-2.245833333333333,-2.0305555555555554,0,-0.4536578357219696,539.0255126953125
