epoch,mean_reward,avg_wait,r_morning,r_off,r_evening,q_loss,epsilon
0,-2.0046296296296298,1.5473379629629629,-1.8545780969479353,-2.022222222222222,-2.478527607361963,1.3402392864227295,0.2985
1,-1.9657407407407408,1.5082175925925927,-1.7902777777777779,-2.316666666666667,0,9.08211898803711,0.2970075
2,-2.0194444444444444,1.6063657407407408,-2.013888888888889,-2.0305555555555554,0,1.2680399417877197,0.29552246249999997
3,-2.1240740740740742,1.5627314814814814,-2.190620272314675,-1.8916666666666666,-2.7966101694915255,1.2823108434677124,0.2940448501875
4,-2.0787037037037037,1.621875,-2.0126582278481013,-1.9638888888888888,-2.5449101796407185,1.1258869171142578,0.29257462593656247
5,-2.02037037037037,1.5533564814814815,-1.8248062015503876,-2.2083333333333335,-2.8,1.7439723014831543,0.2911117528068797
6,-1.950925925925926,1.4354166666666666,-1.8,-2.2527777777777778,0,1.3916034698486328,0.28965619404284526
7,-2.1055555555555556,1.5684027777777778,-2.1625,-1.9916666666666667,0,8.31557559967041,0.28820791307263105
8,-2.0972222222222223,1.5935185185185186,-2.0400696864111496,-2.0027777777777778,-2.5547945205479454,9.894753456115723,0.28676687350726787
9,-2.02037037037037,1.5326388888888889,-1.920863309352518,-1.8944444444444444,-2.6341463414634148,10.24921989440918,0.2853330391397315
10,-1.962962962962963,1.4219907407407408,-1.7791666666666666,-2.3305555555555557,0,16.95798110961914,0.28390637394403284
11,-1.9694444444444446,1.3914351851851852,-1.9444444444444444,-2.0194444444444444,0,1.8377448320388794,0.2824868420743127
12,-2.15,1.5707175925925927,-2.1991017964071857,-1.9222222222222223,-3.0961538461538463,2.5391652584075928,0.2810744078639411
13,-2.136111111111111,1.5961805555555555,-2.117132867132867,-2.05,-2.418918918918919,17.876935958862305,0.2796690358246214
14,-2.0796296296296295,1.5096064814814816,-1.934687953555878,-2.3694444444444445,-1.935483870967742,1.4223798513412476,0.27827069064549825
15,-1.9462962962962962,1.3828703703703704,-1.8972222222222221,-2.0444444444444443,0,1.6174284219741821,0.27687933719227076
16,-2.1203703703703702,1.5244212962962962,-2.124087591240876,-2.047222222222222,-2.8,1.2922985553741455,0.2754949405063094
17,-2.0722222222222224,1.509837962962963,-1.9417989417989419,-2.058333333333333,-2.588235294117647,8.317232131958008,0.2741174658037779
18,-1.9796296296296296,1.4792824074074074,-1.7921092564491654,-2.2305555555555556,-2.5245901639344264,1.8313626050949097,0.272746878474759
19,-1.9953703703703705,1.5465277777777777,-1.8847222222222222,-2.216666666666667,0,1.1490939855575562,0.2713831440823852
20,-2.085185185185185,1.7725694444444444,-2.1194444444444445,-2.0166666666666666,0,1.47140371799469,0.27002622836197326
21,-2.2648148148148146,2.112037037037037,-2.308457711442786,-2.1,-2.547008547008547,1.3360717296600342,0.2686760972201634
22,-2.115740740740741,2.0008101851851854,-1.9923224568138196,-2.0277777777777777,-2.5979899497487438,1.7265584468841553,0.26733271673406256
23,-2.037962962962963,1.791550925925926,-1.8085808580858085,-2.2305555555555556,-2.6491228070175437,1.3722188472747803,0.26599605315039226
24,-1.9981481481481482,1.716087962962963,-1.7819444444444446,-2.4305555555555554,0,10.57931137084961,0.2646660728846403
25,-1.9453703703703704,1.4481481481481482,-2.0,-1.836111111111111,0,9.04352855682373,0.26334274252021705
26,-2.1685185185185185,1.572337962962963,-2.2208398133748055,-1.9222222222222223,-2.883116883116883,1.8292832374572754,0.26202602880761594
27,-2.1018518518518516,1.6107638888888889,-1.9541446208112874,-2.1527777777777777,-2.5294117647058822,1.5916082859039307,0.26071589866357786
28,-2.0148148148148146,1.3686342592592593,-1.8158640226628895,-2.4,-2.142857142857143,1.802117943763733,0.25941231917026
29,-2.037037037037037,1.6025462962962962,-1.9694444444444446,-2.172222222222222,0,1.6012953519821167,0.2581152575744087
30,-2.098148148148148,1.429861111111111,-2.1546546546546548,-1.9277777777777778,-2.537037037037037,1.6974660158157349,0.2568246812865366
31,-2.098148148148148,1.4857638888888889,-1.9789473684210526,-2.058333333333333,-2.6466666666666665,2.2341771125793457,0.25554055788010394
