epoch,mean_reward,avg_wait,r_morning,r_off,r_evening
0,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
1,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
2,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
3,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
4,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
5,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
6,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
7,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
8,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
9,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
10,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
11,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
12,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
13,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
14,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
15,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
16,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
17,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
18,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
19,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
20,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
21,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
22,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
23,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
24,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
25,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
26,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
27,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
28,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
29,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
30,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
31,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
32,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
33,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
34,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
35,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
36,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
37,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
38,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
39,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
40,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
41,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
42,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
43,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
44,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
45,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
46,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
47,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
48,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
49,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
50,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
51,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
52,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
53,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
54,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
55,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
56,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
57,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
58,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
59,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
60,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
61,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
62,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
63,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
64,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
65,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
66,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
67,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
68,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
69,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
70,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
71,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
72,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
73,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
74,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
75,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
76,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
77,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
78,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
79,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
80,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
81,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
82,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
83,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
84,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
85,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
86,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
87,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
88,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
89,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
90,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
91,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
92,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
93,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
94,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
95,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
96,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
97,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
98,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
99,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
100,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
101,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
102,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
103,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
104,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
105,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
106,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
107,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
108,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
109,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
110,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
111,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
112,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
113,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
114,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
115,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
116,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
117,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
118,-5.911111111111111,15.291062801932368,-5.605555555555555,-4.983333333333333,-7.32063492063492
