epoch,mean_reward,pg_loss,v_loss
0,-3.0194444444444444,-12.691946029663086,7675.43408203125
1,-3.225,-11.99964714050293,5527.50390625
2,-3.013888888888889,-11.001742362976074,4679.21630859375
3,-3.3555555555555556,-11.367236137390137,3849.720947265625
4,-3.063888888888889,-10.959207534790039,3904.5244140625
5,-3.8666666666666667,-12.979087829589844,6237.11328125
6,-3.213888888888889,-10.861066818237305,4747.72802734375
7,-3.1527777777777777,-9.825944900512695,4199.0888671875
8,-3.063888888888889,-10.471304893493652,4970.1826171875
9,-3.1527777777777777,-10.547484397888184,4521.12158203125
10,-3.297222222222222,-11.024209022521973,4000.153564453125
11,-2.8361111111111112,-9.161160469055176,2508.355224609375
12,-2.588888888888889,-8.728202819824219,2550.7724609375
13,-2.9583333333333335,-10.129510879516602,4335.3037109375
14,-2.7472222222222222,-9.179938316345215,3983.09716796875
15,-3.136111111111111,-10.971296310424805,5389.40234375
16,-3.7916666666666665,-12.305864334106445,4978.111328125
17,-2.863888888888889,-9.686761856079102,2965.478759765625
18,-2.7666666666666666,-9.510971069335938,3007.573974609375
19,-3.0805555555555557,-10.643261909484863,3663.184814453125
20,-3.0388888888888888,-10.634641647338867,4256.9501953125
21,-3.088888888888889,-10.803818702697754,4760.62060546875
22,-3.2555555555555555,-11.045170783996582,5593.3798828125
23,-2.933333333333333,-10.104979515075684,4605.3935546875
24,-3.061111111111111,-10.421120643615723,3758.83251953125
25,-3.0166666666666666,-10.480321884155273,3601.109375
26,-2.8833333333333333,-9.919089317321777,3102.801025390625
27,-3.036111111111111,-10.612607955932617,3840.578369140625
28,-2.6972222222222224,-8.9830904006958,3043.6474609375
29,-2.966666666666667,-10.117157936096191,4629.6240234375
30,-2.9166666666666665,-10.019210815429688,5171.74365234375
31,-2.686111111111111,-9.332890510559082,3738.028076171875
32,-2.8944444444444444,-9.918778419494629,3515.179931640625
33,-2.8,-9.739502906799316,3075.8916015625
34,-2.7055555555555557,-9.442042350769043,2896.15966796875
35,-2.683333333333333,-9.259858131408691,2745.179931640625
36,-2.6222222222222222,-8.86754035949707,3452.976318359375
37,-3.186111111111111,-11.03013801574707,5499.6484375
38,-2.75,-9.460342407226562,3832.537841796875
39,-2.566666666666667,-8.340619087219238,2872.13916015625
40,-3.111111111111111,-10.561535835266113,3707.731201171875
41,-2.6972222222222224,-9.155631065368652,2750.37109375
42,-3.036111111111111,-10.206161499023438,3415.790283203125
43,-3.011111111111111,-10.644997596740723,4765.7373046875
44,-3.2055555555555557,-11.117375373840332,4555.69189453125
45,-2.672222222222222,-8.30990219116211,3506.718994140625
46,-2.7805555555555554,-9.178119659423828,3857.315185546875
47,-2.6333333333333333,-8.556248664855957,2636.486328125
48,-2.7194444444444446,-8.764577865600586,2669.313720703125
49,-2.9138888888888888,-9.409902572631836,3040.747314453125
50,-2.8444444444444446,-9.591748237609863,3066.39404296875
51,-2.683333333333333,-8.485151290893555,3034.828369140625
52,-2.6777777777777776,-8.598291397094727,3567.08984375
53,-2.7527777777777778,-8.688057899475098,3729.357666015625
54,-2.925,-8.867295265197754,3573.043701171875
55,-2.4722222222222223,-7.569087028503418,2135.21044921875
56,-2.5944444444444446,-7.921573162078857,2087.80615234375
57,-2.638888888888889,-7.850169658660889,2056.744384765625
58,-2.8722222222222222,-8.6798095703125,3070.436767578125
59,-2.466666666666667,-7.358116149902344,2449.63232421875
