epoch,mean_reward,pg_loss,v_loss
60,-2.3777777777777778,-6.392969608306885,2264.93359375
61,-2.6055555555555556,-7.839115619659424,2737.999267578125
62,-2.772222222222222,-8.280960083007812,2597.6025390625
63,-2.5861111111111112,-7.770127296447754,2114.177001953125
64,-2.6,-7.109281539916992,2036.8675537109375
65,-2.7416666666666667,-7.97944450378418,2431.239501953125
66,-2.6055555555555556,-7.497341632843018,2096.319091796875
67,-2.625,-6.991029739379883,2770.36376953125
68,-2.5944444444444446,-7.289735317230225,2872.856689453125
69,-2.5861111111111112,-7.164309978485107,2638.99267578125
70,-2.6222222222222222,-6.85931396484375,1866.8778076171875
71,-2.9055555555555554,-7.5465521812438965,2248.84716796875
72,-2.3833333333333333,-5.8016037940979,1397.037109375
73,-2.7666666666666666,-7.29937219619751,2000.1353759765625
74,-2.6527777777777777,-6.8792033195495605,1737.7589111328125
75,-2.8694444444444445,-7.422896385192871,3010.56103515625
76,-2.5527777777777776,-6.11504602432251,2022.5950927734375
77,-2.3722222222222222,-4.748617172241211,1688.0858154296875
78,-2.477777777777778,-5.634029865264893,1662.7916259765625
79,-2.688888888888889,-6.3743367195129395,1708.4371337890625
80,-2.577777777777778,-5.712117671966553,1324.4727783203125
81,-2.513888888888889,-5.547852039337158,1305.9609375
82,-2.5805555555555557,-5.273902893066406,1531.9630126953125
83,-2.611111111111111,-5.518522262573242,1767.8426513671875
84,-2.452777777777778,-3.918694496154785,1593.076904296875
85,-2.7583333333333333,-6.010247707366943,1966.1795654296875
86,-2.6166666666666667,-5.084414958953857,1200.0870361328125
87,-2.475,-4.725148677825928,901.521728515625
88,-2.6277777777777778,-5.373898029327393,1167.34326171875
89,-2.588888888888889,-4.709761619567871,975.67041015625
90,-2.888888888888889,-5.8949503898620605,2006.4114990234375
91,-2.5388888888888888,-4.045996189117432,1439.9246826171875
92,-2.5083333333333333,-2.9603216648101807,1350.583984375
93,-2.591666666666667,-4.025553226470947,1076.177490234375
94,-2.3944444444444444,-3.1379201412200928,653.3426513671875
95,-2.3944444444444444,-3.1995246410369873,706.5364379882812
96,-2.65,-4.157777309417725,1064.517822265625
97,-2.7527777777777778,-4.339570999145508,1302.6505126953125
98,-2.825,-4.6204328536987305,1454.0841064453125
99,-2.2555555555555555,-0.07927966862916946,809.3781127929688
100,-2.75,-3.6039130687713623,1258.6141357421875
101,-2.411111111111111,-2.1120553016662598,630.8142700195312
102,-2.563888888888889,-2.9760847091674805,662.302978515625
103,-2.5027777777777778,-2.3254106044769287,697.4124755859375
104,-2.352777777777778,-1.2459346055984497,622.3546142578125
105,-2.691666666666667,-2.776254415512085,1183.2911376953125
106,-2.183333333333333,-0.5096713900566101,594.760009765625
107,-2.438888888888889,-0.749269425868988,705.6198120117188
108,-2.55,-1.3658604621887207,639.2149658203125
109,-2.533333333333333,-1.215453028678894,679.8692626953125
110,-2.6055555555555556,-1.29813814163208,766.6890869140625
111,-2.6055555555555556,-1.532849669456482,1034.66259765625
112,-2.675,-1.3699034452438354,995.2578125
113,-2.6166666666666667,-1.3524953126907349,1166.6346435546875
114,-2.4,0.6242218613624573,772.0061645507812
115,-2.691666666666667,-1.5177861452102661,921.9356689453125
116,-2.4472222222222224,0.11530827730894089,727.8245239257812
117,-2.436111111111111,0.4169659912586212,761.7913208007812
118,-2.2555555555555555,1.319101333618164,742.0657958984375
119,-2.1805555555555554,1.4004963636398315,897.3916015625
120,-2.5055555555555555,2.423358201980591,1196.1795654296875
121,-2.5166666666666666,-0.2936766743659973,759.4949951171875
122,-2.4611111111111112,0.4454609453678131,832.2723388671875
123,-2.4027777777777777,0.2538383901119232,724.2576293945312
124,-2.5055555555555555,-0.060541365295648575,730.5338745117188
125,-2.425,0.1252741664648056,823.0665893554688
126,-2.611111111111111,-0.8222810626029968,964.8206787109375
127,-2.4583333333333335,-0.1694861352443695,760.7227172851562
128,-2.411111111111111,0.07433883100748062,548.8952026367188
129,-2.1972222222222224,0.5440489649772644,709.9114379882812
130,-2.4166666666666665,-0.24094226956367493,571.2900390625
131,-2.5166666666666666,-0.7739050984382629,623.8511962890625
132,-2.397222222222222,-0.6732161045074463,818.1424560546875
133,-2.3583333333333334,-0.4721190929412842,700.7151489257812
134,-2.2888888888888888,1.6202682256698608,1144.217041015625
135,-2.6305555555555555,-2.1130752563476562,722.4470825195312
136,-2.297222222222222,-0.5261019468307495,561.677001953125
137,-2.388888888888889,-0.8707500100135803,526.7587890625
138,-2.3305555555555557,-0.49638891220092773,612.4489135742188
139,-2.341666666666667,-0.8299301266670227,620.5606689453125
140,-2.4305555555555554,-1.2039401531219482,794.2857666015625
141,-2.225,1.0721640586853027,905.5010986328125
142,-2.4,-1.5056514739990234,578.7535400390625
143,-2.2527777777777778,-0.7047080397605896,448.1315612792969
144,-2.313888888888889,-1.3434847593307495,749.294677734375
145,-2.4833333333333334,-1.8719056844711304,698.978271484375
146,-2.3694444444444445,-1.0952484607696533,850.1566162109375
147,-2.283333333333333,-0.6307361125946045,782.0161743164062
148,-2.147222222222222,1.3027430772781372,877.2062377929688
149,-2.452777777777778,-2.0175812244415283,584.5823364257812
150,-2.3722222222222222,-1.5541529655456543,738.7127685546875
151,-2.4555555555555557,-1.3748316764831543,534.7025146484375
152,-2.3666666666666667,-1.3500899076461792,737.2874145507812
153,-2.1777777777777776,-0.31725171208381653,660.4328002929688
154,-2.341666666666667,-1.2666913270950317,901.1983642578125
155,-2.216666666666667,1.517751932144165,878.3602294921875
156,-2.4444444444444446,-1.4495372772216797,708.1001586914062
157,-2.283333333333333,-0.7582101821899414,451.37890625
158,-2.4583333333333335,-1.4177759885787964,688.2789306640625
159,-2.4277777777777776,-1.6829750537872314,714.140869140625
160,-2.188888888888889,-0.46883338689804077,679.2335815429688
161,-2.1194444444444445,0.00039908092003315687,705.6486206054688
162,-2.2944444444444443,1.238619327545166,799.4927368164062
163,-2.261111111111111,-0.5345596075057983,577.7508544921875
164,-2.058333333333333,0.42396673560142517,569.1488037109375
165,-2.313888888888889,-1.073997974395752,704.92578125
166,-2.2222222222222223,-0.5180529952049255,789.4037475585938
167,-2.3027777777777776,-0.8875690698623657,894.8714599609375
168,-2.191666666666667,1.6982117891311646,934.1346435546875
169,-2.352777777777778,-0.9781191349029541,575.7561645507812
170,-2.238888888888889,-0.48448801040649414,604.7513427734375
171,-2.1638888888888888,-0.3382287323474884,527.285400390625
172,-2.213888888888889,-0.49600473046302795,545.896484375
173,-2.2444444444444445,-0.9045056700706482,722.076904296875
174,-2.161111111111111,-0.5454979538917542,858.0648193359375
175,-2.3194444444444446,0.47292259335517883,913.0679931640625
176,-2.2527777777777778,-0.5958766341209412,613.6056518554688
177,-2.2472222222222222,-0.7889131307601929,473.5677490234375
178,-2.1305555555555555,-0.6715685725212097,543.294677734375
179,-2.3472222222222223,-1.5636780261993408,975.2116088867188
180,-2.2944444444444443,-1.5371403694152832,755.6605834960938
181,-2.1305555555555555,1.5279288291931152,833.779541015625
182,-2.236111111111111,-1.1129533052444458,559.6051025390625
183,-2.3694444444444445,-1.7735646963119507,643.9951171875
184,-2.2111111111111112,-1.3450632095336914,720.6221313476562
185,-2.313888888888889,-1.7414121627807617,690.1005859375
186,-2.3944444444444444,-1.7906947135925293,810.2246704101562
187,-2.386111111111111,-1.9416214227676392,1075.9443359375
188,-2.325,-0.17561978101730347,891.5968017578125
189,-2.1555555555555554,-0.5394569039344788,573.8482666015625
190,-2.3666666666666667,-1.4567722082138062,612.4869995117188
191,-2.4,-2.0154919624328613,771.9850463867188
192,-2.1305555555555555,-0.0613890215754509,590.691162109375
193,-2.263888888888889,-0.9373313188552856,789.0166625976562
194,-2.3305555555555557,0.9095029234886169,851.4617309570312
195,-2.311111111111111,-0.9564116597175598,732.6629638671875
196,-2.0861111111111112,0.5154780745506287,614.6922607421875
197,-2.172222222222222,-0.18723221123218536,589.2020874023438
198,-2.1083333333333334,0.24082501232624054,608.8886108398438
199,-2.3222222222222224,-0.7955788373947144,773.5865478515625
