epoch,mean_reward,r_morning,r_off,r_evening,pg_loss,v_loss,ood_size
0,-2.4731481075286865,-2.440711462450593,-2.1944444444444446,-3.0186915887850465,7.054323196411133,1906.4832763671875,1080
1,-2.3009259700775146,-2.0962406015037596,-2.5972222222222223,-2.8363636363636364,6.234745502471924,1573.6727294921875,1080
2,-2.1824073791503906,-1.9875,-2.5722222222222224,0,5.554297924041748,1452.9666748046875,1080
3,-2.123148202896118,-2.1555555555555554,-2.058333333333333,0,5.460193157196045,1252.6129150390625,1080
4,-2.2898147106170654,-2.4158878504672896,-2.011111111111111,-2.5384615384615383,6.542120933532715,1485.2650146484375,1080
5,-2.2509260177612305,-2.2519083969465647,-1.9861111111111112,-2.7346938775510203,-2.9320056438446045,1536.9698486328125,0
6,-2.071296215057373,-1.9274873524451939,-2.147222222222222,-2.52755905511811,4.40812873840332,993.4642333984375,1080
7,-2.1481480598449707,-1.9472222222222222,-2.55,0,4.833146095275879,1259.4676513671875,1080
8,-2.120370388031006,-2.138888888888889,-2.0833333333333335,0,4.455801963806152,1125.9622802734375,1080
9,-2.0879628658294678,-2.142857142857143,-1.913888888888889,-3.3,3.9955098628997803,901.3001708984375,1080
10,-2.217592477798462,-2.2319109461966606,-2.013888888888889,-2.5801104972375692,-1.8903133869171143,1054.9610595703125,0
11,-2.069444417953491,-1.8797127468581687,-2.1638888888888888,-2.5092024539877302,3.235229015350342,914.1541748046875,1080
12,-1.95462965965271,-1.7666666666666666,-2.3305555555555557,0,2.0489614009857178,531.7825317382812,1080
13,-1.9027777910232544,-1.9069444444444446,-1.8944444444444444,0,1.3238723278045654,587.9699096679688,1080
14,-2.0888888835906982,-2.143065693430657,-1.9111111111111112,-2.857142857142857,2.7802059650421143,719.7915649414062,1080
15,-1.9722222089767456,-1.9162112932604736,-1.8416666666666666,-2.426900584795322,0.19883207976818085,690.2005004882812,0
16,-1.9694443941116333,-1.783828382838284,-2.077777777777778,-2.6140350877192984,1.1458896398544312,537.0137939453125,1080
17,-1.9435185194015503,-1.7375,-2.3555555555555556,0,0.7309077382087708,574.3070068359375,1080
18,-1.9074074029922485,-1.976388888888889,-1.7694444444444444,0,0.1571178287267685,527.0433959960938,1080
19,-1.9935184717178345,-2.045741324921136,-1.7583333333333333,-2.5930232558139537,0.8108006715774536,611.6093139648438,1080
20,-1.9175926446914673,-1.940754039497307,-1.738888888888889,-2.233128834355828,-1.8983062505722046,785.1239624023438,1080
21,-1.960185170173645,-1.7782738095238095,-2.2333333333333334,-2.4583333333333335,0.1481045037508011,526.937255859375,1080
22,-1.8888888359069824,-1.7902777777777779,-2.0861111111111112,0,-0.7284536957740784,475.5869445800781,1080
23,-1.9675925970077515,-2.0083333333333333,-1.886111111111111,0,-0.08436966687440872,539.3007202148438,0
24,-1.9981482028961182,-2.0,-1.7861111111111112,-2.5033557046979866,0.16090136766433716,710.6644287109375,1080
25,-1.9222222566604614,-1.8566176470588236,-1.7666666666666666,-2.4431818181818183,-2.019986391067505,795.78564453125,1080
26,-1.8981481790542603,-1.7774647887323944,-2.1416666666666666,-1.7,-0.8010846376419067,500.2026672363281,1080
27,-1.8203703165054321,-1.7944444444444445,-1.8722222222222222,0,-1.5548171997070312,555.870361328125,1080
28,-1.9120370149612427,-2.0199430199430197,-1.6694444444444445,-2.5555555555555554,-0.4671468436717987,595.2280883789062,1080
29,-1.9064815044403076,-1.89009009009009,-1.738888888888889,-2.327272727272727,1.0336142778396606,895.1140747070312,0
30,-1.869444489479065,-1.78369384359401,-1.8777777777777778,-2.277310924369748,-0.6438494920730591,524.869140625,1080
31,-1.8129630088806152,-1.6805555555555556,-2.077777777777778,0,-0.9960029125213623,553.625,1080
32,-1.8175926208496094,-1.8625,-1.7277777777777779,0,-0.6488451957702637,515.7847900390625,1080
33,-1.9333332777023315,-1.9483333333333333,-1.7694444444444444,-2.35,0.5976219773292542,556.9052734375,1080
34,-1.8851852416992188,-1.8282097649186257,-1.7944444444444445,-2.269461077844311,-1.2180097103118896,751.7105712890625,1080
35,-1.8277777433395386,-1.6676136363636365,-2.1333333333333333,-2.0,0.019636917859315872,439.7775573730469,1080
36,-1.8009259700775146,-1.7541666666666667,-1.8944444444444444,0,-0.008692094124853611,485.04547119140625,1080
37,-1.9787037372589111,-2.0127298444130126,-1.8888888888888888,-2.6153846153846154,2.1458091735839844,749.10888671875,1080
38,-1.9296296834945679,-1.8940754039497307,-1.8027777777777778,-2.331288343558282,0.39246177673339844,834.73193359375,0
39,-1.8305555582046509,-1.6943521594684385,-1.9111111111111112,-2.2796610169491527,0.8133822083473206,499.0071716308594,1080
40,-1.8259259462356567,-1.6666666666666667,-2.1444444444444444,0,0.9420527815818787,513.144775390625,1080
41,-1.8416666984558105,-1.8763888888888889,-1.7722222222222221,0,1.0988895893096924,520.257568359375,1080
42,-2.008333444595337,-2.0098360655737704,-1.8777777777777778,-2.4272727272727272,2.8680593967437744,844.84521484375,1080
43,-1.8462963104248047,-1.8086642599277978,-1.75,-2.180722891566265,-0.31294864416122437,754.4653930664062,1080
44,-1.889814853668213,-1.7586206896551724,-2.1527777777777777,-1.75,1.687068223953247,591.719970703125,1080
45,-1.796296238899231,-1.7583333333333333,-1.8722222222222222,0,0.710226833820343,548.946044921875,1080
46,-1.8259259462356567,-1.8633193863319386,-1.7472222222222222,-2.3333333333333335,1.047431230545044,596.9990844726562,1080
47,-1.900925874710083,-1.9183303085299455,-1.7027777777777777,-2.2662721893491122,0.08462817221879959,816.3753662109375,0
48,-1.869444489479065,-1.782905982905983,-1.85,-2.2962962962962963,1.2127110958099365,486.0384826660156,1080
49,-1.8129630088806152,-1.6236111111111111,-2.191666666666667,0,0.45051851868629456,526.8204956054688,1080
